code,name,type
000001,平安银行,stock
000002,万  科Ａ,stock
000004,*ST国华,stock
000006,深振业Ａ,stock
000007,全新好,stock
000008,神州高铁,stock
000009,中国宝安,stock
000010,美丽生态,stock
000011,深物业A,stock
000012,南  玻Ａ,stock
000014,沙河股份,stock
000016,深康佳Ａ,stock
000017,深中华A,stock
000019,深粮控股,stock
000020,深华发Ａ,stock
000021,深科技,stock
000025,特  力Ａ,stock
000026,飞亚达,stock
000027,深圳能源,stock
000028,国药一致,stock
000029,深深房Ａ,stock
000030,富奥股份,stock
000031,大悦城,stock
000032,深桑达Ａ,stock
000034,神州数码,stock
000035,中国天楹,stock
000036,华联控股,stock
000037,深南电A,stock
000039,中集集团,stock
000042,中洲控股,stock
000045,深纺织Ａ,stock
000048,京基智农,stock
000049,德赛电池,stock
000050,深天马Ａ,stock
000055,方大集团,stock
000056,皇庭国际,stock
000058,深 赛 格,stock
000059,华锦股份,stock
000060,中金岭南,stock
000061,农 产 品,stock
000062,深圳华强,stock
000063,中兴通讯,stock
000065,北方国际,stock
000066,中国长城,stock
000068,华控赛格,stock
000069,华侨城Ａ,stock
000070,特发信息,stock
000078,海王生物,stock
000088,盐 田 港,stock
000089,深圳机场,stock
000090,天健集团,stock
000096,广聚能源,stock
000099,中信海直,stock
000100,TCL科技,stock
000151,中成股份,stock
000153,丰原药业,stock
000155,川能动力,stock
000156,华数传媒,stock
000157,中联重科,stock
000158,常山北明,stock
000159,国际实业,stock
000166,申万宏源,stock
000301,东方盛虹,stock
000333,美的集团,stock
000338,潍柴动力,stock
000400,许继电气,stock
000401,金隅冀东,stock
000402,金 融 街,stock
000403,派林生物,stock
000404,长虹华意,stock
000407,胜利股份,stock
000408,藏格矿业,stock
000409,云鼎科技,stock
000410,沈阳机床,stock
000411,英特集团,stock
000415,渤海租赁,stock
000417,合百集团,stock
000419,通程控股,stock
000420,吉林化纤,stock
000421,南京公用,stock
000422,湖北宜化,stock
000423,东阿阿胶,stock
000425,徐工机械,stock
000426,兴业银锡,stock
000428,华天酒店,stock
000429,粤高速Ａ,stock
000430,ST张家界,stock
000488,ST晨鸣,stock
000498,山东路桥,stock
000501,武商集团,stock
000503,国新健康,stock
000504,*ST生物,stock
000505,京粮控股,stock
000506,招金黄金,stock
000507,珠海港,stock
000509,华塑控股,stock
000510,新金路,stock
000513,丽珠集团,stock
000514,渝 开 发,stock
000516,国际医学,stock
000517,荣安地产,stock
000518,*ST四环,stock
000519,中兵红箭,stock
000520,凤凰航运,stock
000521,长虹美菱,stock
000523,红棉股份,stock
000524,岭南控股,stock
000525,红太阳,stock
000526,学大教育,stock
000528,柳    工,stock
000529,广弘控股,stock
000530,冰山冷热,stock
000531,穗恒运Ａ,stock
000532,华金资本,stock
000533,顺钠股份,stock
000534,万泽股份,stock
000536,华映科技,stock
000537,中绿电,stock
000538,云南白药,stock
000539,粤电力Ａ,stock
000541,佛山照明,stock
000543,皖能电力,stock
000544,中原环保,stock
000545,金浦钛业,stock
000546,金圆股份,stock
000547,航天发展,stock
000548,湖南投资,stock
000550,江铃汽车,stock
